x_val,y_val,z_val,x_int,y_int,z_int,x_held,y_held,step_counter,cum_int,cum_total_score,cum_trial_score,reward,trial_count,graph,cb_group,has_focus
0,14,-3,0,0,0,0,0,3,0,4,0,false,5,1,"A",1
-20,-21,36,0,0,0,0,0,4,0,4,0,false,5,1,"A",1
75,-5,10,1,0,0,0,0,5,1,3,0,false,5,1,"A",1
35,-4,-37,0,0,0,0,0,6,1,3,0,false,5,1,"A",1
27,-8,-23,0,0,0,0,0,7,1,3,0,false,5,1,"A",1
-27,-5,-16,0,0,0,0,0,8,1,3,0,false,5,1,"A",1
4,-25,4,0,0,0,0,0,9,1,3,0,false,5,1,"A",1
-75,-5,-29,1,0,0,0,0,10,2,2,0,false,5,1,"A",1
8,-19,0,0,0,0,0,0,11,2,2,0,false,5,1,"A",1
-9,-10,-39,0,0,0,0,0,12,2,2,0,false,5,1,"A",1
-13,-1,-1,0,0,0,0,0,13,2,2,0,false,5,1,"A",1
-7,-5,10,0,0,0,0,0,14,2,2,0,false,5,1,"A",1
0,75,-18,0,1,0,0,0,15,3,1,0,false,5,1,"A",1
-2,-7,-5,0,0,0,0,0,16,3,1,0,false,5,1,"A",1
7,32,13,0,0,0,0,0,17,3,1,0,false,5,1,"A",1
-10,6,23,0,0,0,0,0,18,3,1,0,false,5,1,"A",1
-10,5,13,0,0,0,0,0,19,3,1,0,false,5,1,"A",1
-11,-75,-10,0,1,0,0,0,20,4,0,0,false,5,1,"A",1
17,-1,-65,0,0,0,0,0,21,4,0,0,false,5,1,"A",1
2,26,-30,0,0,0,0,0,22,4,0,0,false,5,1,"A",1
-23,-12,-3,0,0,0,0,0,23,4,0,0,false,5,1,"A",1
3,-4,-15,0,0,0,0,0,24,4,0,0,false,5,1,"A",1
-50,31,4,1,0,0,0,0,25,5,-1,0,false,5,1,"A",1
-50,55,27,1,0,0,0,0,26,6,-2,0,false,5,1,"A",1
-50,25,36,1,0,0,0,0,27,7,-3,0,false,5,1,"A",1
-50,21,29,1,0,0,0,0,28,8,-4,0,false,5,1,"A",1
-1,-18,19,0,0,0,0,0,29,8,-4,0,false,5,1,"A",1
0,-16,2,0,0,0,0,0,30,8,-4,0,false,5,1,"A",1
